ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45617 6 45872 8 46128 8 46384 6 46641 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50792 5 51046 8 51301 10 51556 11 51811 12 52067 12 52323 11 52579 10 52835 9 53092 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,11660 5 11914 7 12169 8 12424 9 12680 8 12935 8 13191 7 13447 6 13704 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,32144 5 32397 10 32652 12 32907 13 33162 14 33418 13 33673 13 33929 12 34186 10 34442 8 34699 6 34956 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,51609 4 51864 5 52118 7 52373 7 52629 6 52884 7 53140 6 53395 6 53651 4 53907 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31646 1 31902 1 32158 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,39332 3 39587 5 39841 7 40096 8 40352 7 40608 7 40864 6 41121 5 41377 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,54501 3 55020 4 55539 6 56058 7 56577 8 57096 10 57615 12 58134 15 58652 19 59171 20 59690 21 60209 22 60728 23 61247 24 61766 25 62284 26 62803 26 63322 27 63841 27 64360 27 64879 26 65398 26 65917 26 66436 26 66956 25 67475 26 67994 26 68513 27 69032 28 69551 30 70070 30 70589 31 71108 32 71628 32 72147 33 72666 34 73185 34 73704 35 74223 36 74742 37 75261 38 75779 39 76298 40 76817 40 76867 5 77336 40 77383 9 77855 40 77901 11 78374 40 78419 12 78894 39 78938 13 79413 39 79456 14 79932 39 79975 14 80451 39 80494 15 80971 39 81012 16 81490 57 82010 56 82529 56 83049 55 83569 54 84088 54 84608 53 85128 52 85647 52 86167 51 86686 51 87206 50 87725 50 88245 49 88764 49 89283 48 89803 47 90322 47 90842 46 91361 46 91880 46 92400 46 92919 46 93439 46 93959 46 94478 47 94998 47 95517 48 96037 48 96556 50 97075 52 97595 52 98114 53 98633 53 99153 53 99672 53 100191 53 100710 54 101230 53 101749 54 102269 55 102788 56 103308 56 103828 56 104349 54 104870 53 105390 52 105911 51 106432 49 106953 49 107474 47 107995 46 108515 45 109035 45 109555 44 110075 44 110595 44 111115 44 111635 45 112155 45 112675 45 113194 46 113714 47 114234 47 114753 48 115273 48 115793 48 116312 48 116832 48 117351 49 117871 48 118390 49 118910 49 119429 49 119949 49 120468 49 120988 49 121508 48 122027 50 122547 49 123067 49 123586 50 124106 49 124626 49 125146 49 125667 48 126188 47 126708 47 127228 47 127748 47 128268 47 128788 46 129307 46 129827 44 130348 42 130887 4 130892 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25975 5 26491 11 27008 14 27525 17 28043 18 28561 19 29079 20 29597 21 30116 21 30634 22 31153 22 31671 22 32190 22 32709 21 33228 20 33747 20 34267 18 34786 17 35305 16 35825 13 36345 10 36865 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118885 3 119402 7 119920 9 120439 10 120957 11 121476 12 121995 12 122514 12 123032 13 123551 13 124070 13 124589 13 125108 12 125627 12 126147 11 126666 11 127185 11 127705 10 128224 10 128743 9 129263 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8354 6 8872 9 9390 11 9909 12 10427 13 10946 14 11465 14 11983 15 12502 15 13021 15 13540 15 14059 15 14578 15 15097 15 15616 14 16135 14 16654 14 17173 14 17692 14 18211 14 18730 13 19249 13 19768 12 20288 10 20807 9 21327 8 21846 7 22367 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,29644 12 30161 15 30678 18 31196 20 31714 21 32232 22 32751 22 33270 21 33788 21 34307 20 34825 21 35344 19 35863 18 36382 17 36900 16 37419 16 37938 14 38457 14 38977 11 39496 9 40017 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46787 8 47303 15 47820 19 48338 21 48856 23 49375 23 49893 24 50412 24 50931 24 51449 24 51969 23 52488 22 53008 19 53528 16 54048 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,10455 5 10973 7 11492 7 12010 9 12529 9 13048 9 13567 10 14087 9 14606 9 15125 10 15645 9 16165 8 16684 8 17204 8 17724 8 18243 8 18763 7 19282 8 19802 7 20321 8 20841 7 21360 7 21880 5 22400 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63930 4 64447 9 64964 12 65482 14 66000 15 66519 16 67037 17 67556 17 68074 18 68593 19 69112 19 69631 19 70150 19 70669 19 71188 19 71707 19 72226 18 72745 18 73265 17 73784 17 74304 16 74824 14 75343 14 75863 13 76382 13 76902 11 77421 10 77941 8 78461 6 78981 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24522 1 25039 6 25556 9 26075 10 26593 11 27111 12 27630 12 28149 13 28668 13 29187 13 29706 14 30226 13 30745 13 31264 13 31784 13 32303 13 32823 13 33342 14 33862 13 34381 14 34901 13 35421 13 35941 12 36461 11 36981 10 37502 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,50479 9 50996 13 51512 17 52030 19 52548 21 53066 22 53584 23 54103 23 54621 24 55140 23 55658 24 56177 24 56696 23 57215 22 57734 21 58252 22 58771 21 59290 20 59809 19 60328 19 60847 19 61366 18 61885 18 62405 17 62924 16 63443 15 63963 14 64483 11 65003 9 65524 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,94066 5 94584 8 95102 10 95621 11 96140 11 96658 13 97177 13 97696 13 98216 13 98735 14 99254 14 99773 15 100292 15 100811 16 101330 16 101850 15 102369 15 102889 14 103409 13 103929 12 104450 10 104972 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,1168 17 1686 20 2205 20 2724 21 3243 21 3763 20 4282 20 4802 19 5322 18 5842 16 6363 14 6883 12 7404 8 7926 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113804 15 114321 19 114839 22 115357 24 115876 25 116395 26 116913 27 117432 27 117951 27 118471 26 118990 25 119510 24 120030 21 120551 18 121073 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,21430 2 21947 8 22463 13 22981 16 23499 18 24017 20 24536 20 25055 21 25574 21 26094 21 26613 21 27133 21 27653 20 28173 19 28692 19 29212 19 29731 19 30250 19 30770 18 31289 18 31808 18 32327 18 32846 18 33366 17 33886 15 34406 13 34926 10 35448 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,90987 8 91504 13 92021 17 92538 21 93057 22 93575 24 94094 24 94612 26 95131 26 95651 26 96170 26 96689 26 97209 25 97728 25 98248 24 98768 23 99288 21 99808 19 100328 17 100848 15 101369 11 101892 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,1207 10 1724 15 2243 16 2762 17 3282 16 3802 16 4322 15 4842 15 5362 14 5882 14 6401 14 6921 14 7440 14 7960 13 8479 14 8999 13 9518 13 10038 12 10558 10 11078 8 11599 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,57790 10 58306 16 58823 19 59341 22 59859 23 60378 23 60896 25 61415 25 61934 24 62453 24 62972 24 63491 24 64010 23 64529 22 65048 22 65568 19 66087 17 66607 14 67127 11 67649 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,81667 3 82183 9 82701 11 83219 13 83737 15 84256 15 84775 15 85294 15 85813 15 86332 15 86852 14 87371 15 87891 14 88410 13 88930 12 89450 11 89970 9 90490 8 91011 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,90516 4 91033 9 91551 12 92069 14 92588 15 93107 15 93625 17 94144 18 94663 19 95182 19 95701 20 96220 20 96739 21 97258 21 97777 21 98297 20 98816 20 99336 20 99856 19 100376 18 100896 17 101416 15 101935 15 102455 14 102975 12 103496 10 104017 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,36031 6 36547 11 37065 13 37583 15 38102 15 38620 17 39139 17 39657 18 40176 18 40694 19 41213 20 41731 21 42250 21 42768 22 43287 22 43806 22 44325 21 44845 20 45364 19 45884 17 46404 14 46924 11 47446 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63539 2 64055 9 64572 12 65091 14 65609 15 66127 17 66646 17 67164 18 67683 18 68202 18 68721 18 69240 18 69759 18 70278 18 70797 17 71316 17 71835 17 72354 17 72873 17 73392 17 73911 17 74430 17 74949 17 75468 17 75987 17 76506 17 77025 17 77544 16 78063 16 78582 16 79101 16 79621 14 80140 13 80660 12 81180 10 81699 9 82220 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,1267 21 1784 24 2302 26 2821 26 3340 26 3860 25 4379 25 4898 26 5418 24 5937 24 6457 23 6977 22 7497 21 8016 20 8536 19 9055 19 9575 17 10094 17 10613 16 11133 14 11652 13 12172 11 12693 8 13213 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,115473 2 115990 7 116507 11 117025 12 117543 13 118061 14 118579 15 119097 16 119615 17 120133 17 120651 18 121168 19 121686 19 122204 20 122722 20 123241 18 123759 18 124278 18 124797 18 125316 18 125341 10 125835 38 126354 40 126873 41 127393 41 127913 9 127928 26 128434 6 128448 25 128956 2 128967 25 129487 24
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,29308 5 29825 10 30343 13 30862 15 31381 16 31900 17 32419 18 32938 18 33458 18 33977 18 34497 18 35016 18 35535 19 36054 19 36574 18 37093 18 37613 17 38132 17 38652 15 39171 14 39691 12 40212 9 40733 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,85367 7 85884 12 86401 15 86919 18 87438 19 87956 21 88475 21 88994 22 89513 22 90033 21 90552 21 91072 20 91591 20 92111 19 92631 18 93152 16 93672 14 94193 11 94714 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,53723 8 54238 15 54755 20 55273 22 55790 26 56309 27 56827 29 57345 31 57864 31 58383 32 58902 32 59421 32 59940 33 60460 32 60979 32 61499 31 62019 30 62539 28 63059 27 63579 25 64099 22 64621 18 65143 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25208 3 25723 11 26240 14 26758 16 27275 19 27793 21 28311 22 28830 22 29348 23 29867 23 30385 24 30904 24 31423 24 31941 25 32460 25 32979 25 33498 25 34018 23 34537 23 35057 21 35577 19 36096 17 36617 14 37137 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,80219 2 80735 8 81253 11 81771 14 82290 15 82808 17 83327 18 83846 19 84365 20 84885 20 85404 21 85924 20 86443 20 86963 20 87482 19 88002 18 88523 14 89044 11 89566 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,115007 6 115524 10 116042 12 116561 14 117079 16 117597 18 118116 19 118635 20 119154 20 119673 21 120192 22 120711 22 121230 23 121750 22 122270 21 122789 21 123310 19 123831 17 124353 13 124875 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,1889 5 2405 11 2922 15 3440 17 3958 19 4476 21 4994 23 5513 23 6032 22 6551 22 7071 21 7591 19 8112 16
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,12787 6 13304 10 13821 14 14339 17 14857 19 15375 20 15894 21 16413 21 16931 22 17450 22 17969 22 18488 21 19007 21 19527 20 20046 20 20566 19 21085 18 21605 17 22125 16 22645 13 23166 10 23686 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,72479 9 72996 13 73513 16 74031 18 74549 20 75066 22 75585 22 76103 23 76621 25 77139 25 77658 25 78176 26 78695 26 79213 27 79731 27 80250 27 80769 27 81287 27 81806 26 82325 25 82845 23 83364 22 83883 21 84403 18 84923 15 85443 12 85964 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,101028 4 101545 9 102062 12 102580 14 103098 16 103617 16 104136 16 104655 16 105174 16 105693 16 106212 16 106730 17 107249 17 107768 16 108287 16 108806 16 109325 16 109844 16 110363 15 110882 15 111401 14 111921 13 112441 11 112961 9 113481 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,41346 9 41862 15 42380 18 42897 22 43415 24 43934 25 44452 26 44970 28 45489 28 46008 28 46527 28 47046 27 47565 27 48084 26 48603 25 49123 23 49643 19 50164 15 50687 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,126483 5 127000 8 127518 10 128036 11 128554 12 129072 13 129592 12
